1,20021,hinata2_wrise,https://civitai.com/api/download/models/23779
2,20259,ino3_wrise,https://civitai.com/api/download/models/24073
3,21335,kagua_wrise,https://civitai.com/api/download/models/25395
4,20744,karin_wrise,https://civitai.com/api/download/models/24690
5,20627,kushina_wrise,https://civitai.com/api/download/models/24547
6,18562,sakura4_wrise,https://civitai.com/api/download/models/22023
7,19589,tenten_wrise,https://civitai.com/api/download/models/23252
8,19055,tsunade3_wrise,https://civitai.com/api/download/models/22611
9,3887,wano_style_22000,https://civitai.com/api/download/models/4320
10,3887,wano_style_30100,https://civitai.com/api/download/models/4318
10,16993,badhandv4,https://civitai.com/api/download/models/20068
11,5224,By bad artist -neg,https://civitai.com/api/download/models/6057
12,5224,By bad artist -neg,https://civitai.com/api/download/models/6056
12,7808,easynegative,https://civitai.com/api/download/models/9536
13,90707,NegfeetV2,https://civitai.com/api/download/models/98441
14,4629,ng_deepnegative_v1_75t,https://civitai.com/api/download/models/5637
15,11772,verybadimagenegative_v1,https://civitai.com/api/download/models/25820
